incident_id,inc_descrip,route,direction,Marker,number,inc_start,inc_duration,lanecount,blkDuration,respTime,rural
170739,Single Vehicle Crash,I-26,Eastbound,Milepost,30,8/19/2017 1:56,108,1,103,5,Rural
170740,Single Vehicle Crash,I-40,Eastbound,Milepost,440,8/19/2017 2:09,95,1,94,N/A,Rural
170755,Vehicle Fire,I-640,Eastbound,Milepost,10,8/19/2017 10:29,57,2,23,4,Urban
170786,Vehicle Fire,I-640,Westbound,Milepost,10,8/19/2017 14:55,276,1,81,4,Urban
170803,Single Vehicle Crash,I-40,Eastbound,Milepost,380,8/19/2017 18:31,45,0,0,10,Urban
170828,Multivehicle Crash,I-40,Westbound,Milepost,389,8/20/2017 14:19,73,1,4,2,Urban
170858,Single Vehicle Crash,I-75,Southbound,Milepost,136,8/20/2017 19:32,90,1,84,N/A,Rural
170862,Overturned Vehicle,I-75,Northbound,Milepost,146,8/20/2017 20:44,84,1,79,72,Rural
170879,Multivehicle Crash,I-40,Westbound,Milepost,390,8/21/2017 8:17,52,1,6,9,Urban
170892,Multivehicle Crash,I-40,Westbound,Milepost,384,8/21/2017 9:27,27,0,0,6,Urban
170895,Multivehicle Crash,I-40,Westbound,Milepost,379,8/21/2017 9:49,33,0,0,0,Urban
170899,Multivehicle Crash,I-40,Westbound,Milepost,402,8/21/2017 10:34,74,1,40,0,Urban
170902,Multivehicle Crash,I-40,Westbound,Milepost,379,8/21/2017 10:52,40,0,0,5,Urban
170909,Multivehicle Crash,I-40,Westbound,Milepost,379,8/21/2017 11:29,48,0,0,1,Urban
170930,Overturned Vehicle,I-40,Westbound,Milepost,421,8/21/2017 14:04,213,0,0,3,Rural
170940,Multivehicle Crash,I-40,Eastbound,Milepost,393,8/21/2017 15:15,118,2,23,3,Urban
170946,Multivehicle Crash,I-40,Eastbound,Milepost,373,8/21/2017 16:02,62,1,26,1,Urban
170956,Multivehicle Crash,I-75,Northbound,Milepost,83,8/21/2017 17:06,41,0,0,0,Rural
170961,Multivehicle Crash,I-40,Eastbound,Milepost,378,8/21/2017 17:36,17,0,0,17,Urban
170962,Multivehicle Crash,I-40,Eastbound,Milepost,395,8/21/2017 17:39,3,0,0,0,Urban
170964,Multivehicle Crash,I-40,Eastbound,Milepost,371,8/21/2017 17:54,8,0,0,0,Urban
170990,Multivehicle Crash,I-40,Eastbound,Milepost,403,8/22/2017 9:57,16,0,0,0,Urban
171008,Multivehicle Crash,I-40,Eastbound,Milepost,369,8/22/2017 12:56,12,0,0,5,Urban
171012,Single Vehicle Crash,I-40,Eastbound,Milepost,365,8/22/2017 14:05,94,0,0,1,Rural
171022,Multivehicle Crash,I-640,Eastbound,Milepost,3,8/22/2017 15:53,20,1,2,4,Urban
171023,Multivehicle Crash,I-40,Eastbound,Milepost,369,8/22/2017 15:57,41,0,0,0,Urban
171034,Multivehicle Crash,I-40,Eastbound,Milepost,387,8/22/2017 18:09,63,3,39,7,Urban
171035,Vehicle Fire,I-81,Southbound,Milepost,52,8/22/2017 18:22,22,1,21,N/A,Rural
171052,Vehicle Fire,I-40,Eastbound,Milepost,369,8/23/2017 3:16,102,1,33,1,Urban
171059,Multivehicle Crash,I-40,Westbound,Milepost,382,8/23/2017 7:44,109,0,0,6,Urban
171060,Multivehicle Crash,I-40,Westbound,Milepost,388,8/23/2017 7:49,51,1,1,14,Urban
171094,Single Vehicle Crash,I-40,Eastbound,Milepost,370,8/23/2017 16:23,73,2,23,1,Urban
171121,Multivehicle Crash,I-75,Northbound,Milepost,112,8/23/2017 22:17,146,2,117,0,Urban
171157,Single Vehicle Crash,I-40,Eastbound,Milepost,394,8/24/2017 13:57,49,0,0,20,Urban
171172,Multivehicle Crash,I-40,Eastbound,Milepost,379,8/24/2017 17:09,17,0,0,0,Urban
171173,Multivehicle Crash,I-40,Westbound,Milepost,382,8/24/2017 17:21,30,0,0,N/A,Urban
171175,Multivehicle Crash,I-140,Eastbound,Milepost,1,8/24/2017 17:39,68,1,15,7,Urban
171176,Multivehicle Crash,I-40,Eastbound,Milepost,381,8/24/2017 18:39,30,0,0,9,Urban
171178,Multivehicle Crash,I-75,Southbound,Milepost,108,8/24/2017 19:26,180,2,98,3,Urban
171240,Multivehicle Crash,I-40,Westbound,Milepost,375,8/25/2017 15:33,63,1,49,5,Urban
171254,Single Vehicle Crash,I-40,Westbound,Milepost,407,8/25/2017 18:58,7,0,0,0,Rural
171263,Overturned Vehicle,I-275,Southbound,Milepost,1,8/26/2017 3:02,50,2,49,1,Urban
171265,Single Vehicle Crash,I-75,Northbound,Milepost,109,8/26/2017 6:46,44,2,42,4,Urban
171276,Multivehicle Crash,I-40,Westbound,Milepost,378,8/26/2017 10:17,56,0,0,6,Urban
171299,Multivehicle Crash,I-640,Westbound,Milepost,6,8/26/2017 14:40,55,1,19,0,Urban
171326,Vehicle Fire,I-40,Westbound,Milepost,384,8/26/2017 22:41,27,1,17,15,Urban
